split,trading_date,symbol,direction,regime,reject_reason,C2_score,gap_pct,t1_ret_pct,dir_adj_ret,mfe_pct,mae_pct,outcome,rejection_class
VAL,2026-03-30,BAJFINANCE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,3.898696275965308,3.898696275965308,1.9649,1.9649,5.052710373651048,-1.653047221009296,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-30,COFORGE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,3.1667713286085863,3.1667713286085863,3.5166,3.5166,6.53090517628061,-2.727191172512766,STRONG,FALSE_REJECTION
VAL,2026-04-01,NATIONALUM.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.8762047815746632,-0.8762047815746632,0.5883,0.5883,0.988859682062837,3.567405182125427,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-04-01,PETRONET.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.7290212501938842,-0.7290212501938842,-1.237,-1.237,-0.7290212501938842,4.184116643400026,BAD,CORRECT_REJECTION
VAL,2026-04-01,CRAFTSMAN.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.555718046212339,-0.555718046212339,-0.7166,-0.7166,-0.4094764551038299,2.26674466218193,BAD,CORRECT_REJECTION
VAL,2026-04-01,HINDALCO.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.6245854521335414,-0.6245854521335414,1.2879,1.2879,1.8074286977669771,2.1888127349104614,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-04-01,LTTS.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-1.022864019253911,-1.022864019253911,0.707,0.707,1.233453670276785,3.4235860409145613,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-04-02,GRSE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.6517979869640422,0.6517979869640422,0.1862,0.1862,2.3101095197977983,3.290023500199535,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-04-02,FINEORG.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.497334609003941,0.497334609003941,-0.7838,-0.7838,0.6577636494288219,2.133697070276941,BAD,CORRECT_REJECTION
VAL,2026-04-02,ADANIGREEN.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.1168224299065379,0.1168224299065379,7.6051,7.6051,8.259345794392537,-0.0058411214953313,STRONG,FALSE_REJECTION
