track,model,timing,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,spearman_abs
F1_InvKn,F1_High_Top6,PRE_MARKET,DOWN,OOS,324,0.466,0.2778,0.1265,0.0556,1.5735,1.4146,1.6779,0.284,1.0108,0.3396,0.0095,0.0373
F1_InvKn,F1_Low_Top5,PRE_MARKET,DOWN,OOS,270,0.4852,0.2704,0.1481,0.0704,1.5381,1.4564,1.5878,0.2778,1.0213,0.2264,0.086,0.0144
F1_InvKn,F1_Low_Top6,PRE_MARKET,DOWN,OOS,324,0.4846,0.2716,0.1512,0.0772,1.6136,1.5101,1.5728,0.2747,1.061,0.3019,0.0995,0.003
F1_InvKn,F1_Low_Top10,PRE_MARKET,DOWN,OOS,540,0.4704,0.2704,0.1352,0.0667,1.553,1.4418,1.7153,0.287,1.0057,0.566,0.0578,0.0294
F1_InvKn,F1_InvKn_Top5,PRE_MARKET,DOWN,OOS,270,0.4852,0.2704,0.1481,0.0704,1.5381,1.4564,1.5878,0.2778,1.0213,0.2264,-0.086,-0.0144
F1_InvKn,F1_InvKn_Top6,PRE_MARKET,DOWN,OOS,324,0.4846,0.2716,0.1512,0.0772,1.6136,1.5101,1.5728,0.2747,1.061,0.3019,-0.0995,-0.003
G1_Combo,G1_V3_Sector_Top5,PRE_MARKET,UP,TRAIN,535,0.4523,0.2561,0.1402,0.0766,1.7468,1.7503,1.685,0.3271,1.0364,0.2523,-0.0028,0.0011
G1_Combo,G1_V3_Sector_Top6,PRE_MARKET,UP,TRAIN,642,0.4439,0.2508,0.1355,0.0748,1.7558,1.7497,1.6776,0.3318,1.0127,0.2991,0.0111,-0.0139
G1_Combo,G2_V3_InvKn_Top5,PRE_MARKET,UP,TRAIN,535,0.4336,0.2617,0.1402,0.086,2.0266,1.8705,1.7251,0.3439,0.9851,0.2243,0.0392,-0.0385
G1_Combo,G2_V3_InvKn_Top6,PRE_MARKET,UP,TRAIN,642,0.4408,0.2632,0.1417,0.0888,2.028,1.8691,1.6969,0.3396,1.0483,0.3084,0.0053,-0.0471
G1_Combo,G3_V3_Sect_InvKn_Top5,PRE_MARKET,UP,TRAIN,535,0.4449,0.2542,0.1421,0.0841,1.8227,1.78,1.6768,0.3215,1.0009,0.2523,0.0516,0.0411
G1_Combo,G3_V3_Sect_InvKn_Top6,PRE_MARKET,UP,TRAIN,642,0.4361,0.2477,0.134,0.0779,1.7882,1.7273,1.687,0.3349,0.965,0.2991,0.0321,0.0403
G1_Combo,G4_V3_Gap_Top5,PRE_MARKET,UP,TRAIN,535,0.5327,0.3327,0.1907,0.1308,2.1966,2.4074,1.3009,0.2879,1.3852,0.4019,0.106,0.0787
G1_Combo,G4_V3_Gap_Top6,PRE_MARKET,UP,TRAIN,642,0.5125,0.3084,0.1776,0.1184,2.1386,2.2929,1.3251,0.2897,1.3251,0.4766,0.1388,0.0625
G1_Combo,G1_V3_Sector_Top5,PRE_MARKET,UP,VAL,265,0.5623,0.434,0.2943,0.2189,2.9412,3.1495,1.7444,0.3094,1.3122,0.3774,0.0392,0.0816
G1_Combo,G1_V3_Sector_Top6,PRE_MARKET,UP,VAL,318,0.5535,0.4151,0.2862,0.2138,2.9364,3.0047,1.7652,0.3082,1.2819,0.4717,0.0431,0.0472
G1_Combo,G2_V3_InvKn_Top5,PRE_MARKET,UP,VAL,265,0.5019,0.3962,0.2528,0.1774,2.8846,2.7145,2.1256,0.3245,1.0307,0.3396,0.0661,-0.0332
G1_Combo,G2_V3_InvKn_Top6,PRE_MARKET,UP,VAL,318,0.5189,0.4025,0.2704,0.1887,2.8006,2.6866,2.044,0.3113,1.0297,0.3774,0.0512,-0.0072
